Name,Sport,Date,Start time,Duration,Total distance (km),Average heart rate (bpm),Average speed (km/h),Max speed (km/h),Average pace (min/km),Max pace (min/km),Calories,Fat percentage of calories(%),Carbohydrate percentage of calories(%),Protein percentage of calories(%),Average cadence (rpm),Average stride length (cm),Running index,Training load,Ascent (m),Descent (m),Average power (W),Max power (W),Notes,Height (cm),Weight (kg),HR max,HR sit,VO2max,
anton espiga,RUNNING,16-11-2025,13:45:25,01:00:20,10.71,140,10.7,16.0,05:38,03:44,585,38,61,1,88,,57,,120,116,,,,169.0,64.0,183,50,47,
Sample rate,Time,HR (bpm),Speed (km/h),Pace (min/km),Cadence,Altitude (m),Stride length (m),Distances (m),Temperatures (C),Power (W),
1,00:00:00,80,0.0,00:00,0,,,0.00,,,
,00:00:01,81,0.0,00:00,0,,,0.00,,,
,00:00:02,82,0.0,00:00,0,,,0.00,,,
,00:00:03,82,0.1,00:00,0,,,0.00,,,
,00:00:04,82,0.4,162:04,0,,,0.00,,,
,00:00:05,82,1.0,58:12,0,,,0.40,,,
,00:00:06,84,1.9,30:58,0,,,1.00,,,
,00:00:07,86,4.8,12:28,63,,,2.60,,,
,00:00:08,87,7.2,08:17,73,,,4.80,,,
,00:00:09,89,8.6,06:57,81,,,7.30,,,
,00:00:10,91,9.2,06:31,82,,,10.00,,,
,00:00:11,92,9.3,06:29,83,,,12.60,,,
,00:00:12,92,9.1,06:35,83,,,15.00,,,
,00:00:13,93,9.1,06:38,83,,,17.50,,,
,00:00:14,93,9.2,06:30,83,,,20.10,,,
,00:00:15,93,9.4,06:23,83,,,22.70,,,
,00:00:16,94,9.5,06:18,83,,,25.30,,,
,00:00:17,96,9.6,06:15,83,,,28.00,,,
,00:00:18,97,9.7,06:11,83,,,30.70,,,
,00:00:19,98,9.8,06:07,83,,,33.40,,,
,00:00:20,99,9.9,06:02,83,,,36.10,,,
,00:00:21,99,10.1,05:58,83,,,38.90,,,
,00:00:22,99,10.2,05:54,83,,,41.70,,,
,00:00:23,99,10.2,05:52,83,,,44.50,,,
,00:00:24,100,10.2,05:52,83,,,47.40,,,
,00:00:25,101,10.2,05:53,84,,,50.20,,,
,00:00:26,102,10.1,05:55,85,,,52.90,,,
,00:00:27,103,10.0,05:58,85,,,56.30,,,
,00:00:28,103,9.9,06:02,85,,,59.00,,,
,00:00:29,104,9.8,06:06,85,,,61.70,,,
,00:00:30,106,9.7,06:10,84,,,64.40,,,
,00:00:31,106,9.6,06:17,84,,,67.00,,,
,00:00:32,106,9.3,06:25,84,,,69.60,,,
,00:00:33,106,6.3,09:34,82,,,71.80,,,
,00:00:34,106,7.5,08:02,82,,,72.00,,,
,00:00:35,107,7.9,07:35,81,,,72.00,,,
,00:00:36,107,8.1,07:26,81,,,72.00,,,
,00:00:37,107,8.1,07:23,82,,,74.20,,,
,00:00:38,107,8.2,07:19,83,,,77.10,,,
,00:00:39,107,8.3,07:14,83,,,81.40,,,
,00:00:40,108,8.4,07:10,83,,,84.40,,,
,00:00:41,108,8.5,07:06,84,,,87.80,,,
,00:00:42,108,8.5,07:05,85,,,91.30,,,
,00:00:43,108,8.6,07:00,85,,,94.80,,,
,00:00:44,108,8.7,06:53,85,,,96.80,,,
,00:00:45,108,8.9,06:45,85,,,99.30,,,
,00:00:46,108,9.0,06:42,85,,,102.20,,,
,00:00:47,109,9.0,06:41,84,,,104.30,,,
,00:00:48,109,9.0,06:38,84,,,107.00,,,
,00:00:49,110,9.1,06:37,85,,,109.70,,,
,00:00:50,110,9.1,06:37,84,,,111.90,,,
,00:00:51,111,9.0,06:40,85,,,114.10,,,
,00:00:52,111,9.0,06:40,85,,,116.20,,,
,00:00:53,111,9.0,06:40,85,,,118.70,,,
,00:00:54,111,9.0,06:40,85,,,120.80,,,
,00:00:55,111,9.0,06:38,85,,,123.20,,,
,00:00:56,111,9.0,06:40,85,,,125.90,,,
,00:00:57,111,9.0,06:41,85,,,128.70,,,
,00:00:58,111,9.0,06:41,84,,,131.60,,,
,00:00:59,111,9.0,06:41,84,,,134.30,,,
,00:01:00,111,9.0,06:38,84,,,137.00,,,
,00:01:01,111,9.1,06:37,84,,,140.00,,,
,00:01:02,112,9.1,06:37,84,,,142.20,,,
,00:01:03,112,9.1,06:37,84,,,144.60,,,
,00:01:04,113,9.1,06:37,84,,,147.10,,,
,00:01:05,113,9.1,06:37,84,,,149.00,,,
,00:01:06,114,9.0,06:40,84,,,151.40,,,
,00:01:07,114,8.9,06:43,84,,,153.90,,,
,00:01:08,114,8.7,06:53,84,,,156.20,,,
,00:01:09,115,8.6,06:58,84,,,158.30,,,
,00:01:10,115,8.7,06:54,84,,,160.70,,,
,00:01:11,115,8.7,06:55,84,,,163.20,,,
,00:01:12,115,8.6,06:56,84,,,165.40,,,
,00:01:13,115,8.5,07:01,84,,,167.60,,,
,00:01:14,115,8.4,07:09,84,,,170.00,,,
,00:01:15,115,8.3,07:12,84,,,172.40,,,
,00:01:16,116,8.3,07:14,84,,,174.30,,,
,00:01:17,116,8.3,07:15,84,,,176.80,,,
,00:01:18,116,8.3,07:15,84,,,179.60,,,
,00:01:19,116,8.3,07:15,84,,,181.80,,,
,00:01:20,117,8.3,07:15,84,,,184.10,,,
,00:01:21,117,8.3,07:14,84,,,186.50,,,
,00:01:22,117,8.3,07:14,82,,,188.70,,,
,00:01:23,117,8.3,07:13,83,,,191.10,,,
,00:01:24,118,8.3,07:13,83,,,193.30,,,
,00:01:25,118,8.3,07:13,83,,,195.70,,,
,00:01:26,118,8.3,07:13,83,,,197.90,,,
,00:01:27,118,8.3,07:13,83,,,199.90,,,
,00:01:28,118,8.3,07:12,83,,,202.00,,,
,00:01:29,119,8.3,07:12,83,,,204.00,,,
,00:01:30,119,8.3,07:12,83,,,206.20,,,
,00:01:31,119,8.3,07:12,83,,,208.40,,,
,00:01:32,119,8.3,07:12,83,,,210.40,,,
,00:01:33,120,8.3,07:12,83,,,212.70,,,
,00:01:34,120,8.3,07:12,83,39,,214.80,,,
,00:01:35,120,8.3,07:12,83,41,,216.90,,,
,00:01:36,120,8.3,07:12,83,41,,219.20,,,
,00:01:37,121,8.3,07:12,83,41,,221.50,,,
,00:01:38,121,8.3,07:12,83,40,,223.80,,,
,00:01:39,121,8.3,07:12,83,40,,226.10,,,
,00:01:40,121,8.3,07:12,83,40,,228.70,,,
,00:01:41,121,8.3,07:12,83,40,,230.80,,,
,00:01:42,122,8.3,07:12,83,40,,233.00,,,
,00:01:43,122,8.3,07:12,83,39,,235.30,,,
,00:01:44,122,8.3,07:12,83,39,,237.70,,,
,00:01:45,122,8.3,07:12,83,39,,240.00,,,
,00:01:46,123,8.3,07:12,83,39,,242.60,,,
,00:01:47,123,8.3,07:13,82,39,,244.60,,,
,00:01:48,124,8.3,07:13,81,39,,246.90,,,
,00:01:49,124,8.3,07:13,81,39,,249.10,,,
,00:01:50,125,8.3,07:13,81,39,,251.50,,,
,00:01:51,125,8.3,07:13,82,39,,253.80,,,
,00:01:52,125,8.3,07:13,83,39,,256.00,,,
,00:01:53,125,8.3,07:13,83,39,,258.20,,,
,00:01:54,125,8.3,07:13,83,39,,260.40,,,
,00:01:55,126,8.3,07:13,83,39,,262.60,,,
,00:01:56,126,8.3,07:14,83,39,,264.70,,,
,00:01:57,126,8.3,07:15,82,39,,267.00,,,
,00:01:58,126,8.3,07:16,81,39,,269.20,,,
,00:01:59,126,8.3,07:16,81,39,,271.40,,,
,00:02:00,126,8.3,07:16,82,39,,273.80,,,
,00:02:01,127,8.2,07:17,83,39,,276.40,,,
,00:02:02,127,8.2,07:17,83,39,,278.40,,,
,00:02:03,127,8.2,07:17,83,39,,280.80,,,
,00:02:04,127,8.2,07:18,83,39,,282.90,,,
,00:02:05,127,8.2,07:18,83,39,,285.50,,,
